university,rank,country,course_code,course_title,level,textbook_title,authors,edition,publisher,year,isbn,required_or_recommended,source_evidence_note,source_url,confidence,category,matched_terms
Stanford University,2,United States,,Course: Advanced Quantum Mechanics,MSc/graduate (inferred),Modern Quantum Mechanics,J. J. Sakurai; Jim Napolitano,,,,,required/main text (inferred),Matched Modern Quantum Mechanics; course catalog/module candidate; possibly official academic page,https://www.riseupp.com/course/stanford-university/advanced-quantum-mechanics,D,Quantum mechanics,Modern Quantum Mechanics
Stanford University,2,United States,,Course: Advanced Quantum Mechanics,MSc/graduate (inferred),Advanced Quantum Mechanics,J. J. Sakurai,,,,,required/main text (inferred),Matched Advanced Quantum Mechanics; course catalog/module candidate; possibly official academic page,https://www.riseupp.com/course/stanford-university/advanced-quantum-mechanics,D,Advanced quantum mechanics,Advanced Quantum Mechanics
Stanford University,2,United States,,Quantum Mechanics for Scientists and Engineers,Unknown,Principles of Quantum Mechanics,R. Shankar,,,,,matched mention,Matched Principles of Quantum Mechanics; search candidate; not established,https://www.cambridge.org/highereducation/books/quantum-mechanics-for-scientists-and-engineers/D7E998F63F840E09A1E98E6FF33694A5,E,Quantum mechanics,Principles of Quantum Mechanics
Massachusetts Institute of Technology,3,United States,5-73,Quantum Mechanics I,BSc/undergraduate (inferred),Quantum Mechanics,C. Cohen-Tannoudji; B. Diu; F. Laloe,,,,,textbook/reading (inferred),Matched Quantum Mechanics; official/course syllabus candidate; likely official academic domain,https://ocw.mit.edu/courses/5-73-quantum-mechanics-i-fall-2018/pages/syllabus/,A,Quantum mechanics,Cohen[-\s]?Tannoudji
Massachusetts Institute of Technology,3,United States,8-04,Readings,BSc/undergraduate (inferred),Principles of Quantum Mechanics,R. Shankar,,,,,textbook/reading (inferred),Matched Principles of Quantum Mechanics; reading list candidate; likely official academic domain,https://ocw.mit.edu/courses/8-04-quantum-physics-i-spring-2013/pages/readings/,C,Quantum mechanics,Principles of Quantum Mechanics
Massachusetts Institute of Technology,3,United States,,Introduction to Quantum Mechanics 804,BSc/undergraduate (inferred),Introduction to Quantum Mechanics,David J. Griffiths,,,,,matched mention,Matched Introduction to Quantum Mechanics; open courseware; not established,https://www.scribd.com/document/347470835/lZ3bPUKo5zc,D,Quantum mechanics,Introduction to Quantum Mechanics
University of Cambridge,4,United Kingdom,,David Skinner -- Principles of Quantum Mechanics -- University of Cambridge,Unknown,Principles of Quantum Mechanics,R. Shankar,,,,,matched mention,Matched Principles of Quantum Mechanics; search candidate; likely official academic domain,https://www.damtp.cam.ac.uk/user/dbs26/PQM.html,A,Quantum mechanics,Principles of Quantum Mechanics
University of Cambridge,4,United Kingdom,,David Skinner -- Principles of Quantum Mechanics -- University of Cambridge,Unknown,Modern Quantum Mechanics,J. J. Sakurai; Jim Napolitano,,,,,recommended/supplemental (inferred),Matched Modern Quantum Mechanics; search candidate; likely official academic domain,https://www.damtp.cam.ac.uk/user/dbs26/PQM.html,A,Quantum mechanics,Sakurai; Modern Quantum Mechanics
University of Cambridge,4,United Kingdom,,David Skinner -- Principles of Quantum Mechanics -- University of Cambridge,Unknown,The Quantum Theory of Fields,Steven Weinberg,,,,,recommended/supplemental (inferred),Matched The Quantum Theory of Fields; search candidate; likely official academic domain,https://www.damtp.cam.ac.uk/user/dbs26/PQM.html,A,Quantum field theory,Weinberg
University of Oxford,6,United Kingdom,,Quantum Processes and Computation: 2024-2025,Unknown,Quantum Computer Science,N. David Mermin,,,,,matched mention,Matched Quantum Computer Science; search candidate; likely official academic domain,https://www.cs.ox.ac.uk/teaching/courses/2024-2025/quantum/,A,Quantum information,Quantum Computer Science
University of Oxford,6,United Kingdom,,Categorical Quantum Mechanics: 2019-2020,BSc/undergraduate (inferred),Quantum Computer Science,N. David Mermin,,,,,matched mention,Matched Quantum Computer Science; search candidate; likely official academic domain,https://www.cs.ox.ac.uk/teaching/courses/2019-2020/cqm/,A,Quantum information,Quantum Computer Science
University of Oxford,6,United Kingdom,,Quantum Processes and Computation: 2020-2021,Unknown,Quantum Computer Science,N. David Mermin,,,,,matched mention,Matched Quantum Computer Science; search candidate; likely official academic domain,https://www.cs.ox.ac.uk/teaching/courses/2020-2021/quantum/,A,Quantum information,Mermin; Quantum Computer Science
University of Oxford,6,United Kingdom,,Quantum Mechanics: A New Introduction,BSc/undergraduate (inferred),Introduction to Quantum Mechanics,David J. Griffiths,,,,,matched mention,Matched Introduction to Quantum Mechanics; search candidate; not established,https://academic.oup.com/book/54860,E,Quantum mechanics,Introduction to Quantum Mechanics
